Position,Time
N28.917113157894736E77.14349210526315,2024-01-28 07:01:05
N28.917108541666668E77.16666958333334,2024-01-28 07:01:06
N28.917090833333333E77.16710166666667,2024-01-28 07:01:07
N28.917073124999998E77.16753374999999,2024-01-28 07:01:08
N28.91707E77.14315,2024-01-28 07:01:09
N28.9170525E77.16796583333334,2024-01-28 07:01:10
N28.917036666666668E77.16837000000001,2024-01-28 07:01:11
N28.91703125E77.14279625,2024-01-28 07:01:12
N28.91703111111111E77.16862,2024-01-28 07:01:13
N28.91701088235294E77.16900264705883,2024-01-28 07:01:14
N28.91699294117647E77.14248823529411,2024-01-28 07:01:15
N28.91698294117647E77.1694888235294,2024-01-28 07:01:16
N28.916963043478262E77.16987347826087,2024-01-28 07:01:17
N28.91694705882353E77.14215176470589,2024-01-28 07:01:18
N28.916935714285714E77.17029428571429,2024-01-28 07:01:19
N28.916900000000002E77.1418,2024-01-28 07:01:20
N28.916900E77.115200,2024-01-28 07:01:21
N28.916896666666666E77.170705,2024-01-28 07:01:22
N28.91685E77.141425,2024-01-28 07:01:23
N28.916842E77.171125,2024-01-28 07:01:24
N28.916811363636363E77.14111681818183,2024-01-28 07:01:25
N28.91678E77.11514,2024-01-28 07:01:26
N28.916773125E77.115421875,2024-01-28 07:01:27
N28.916771052631578E77.17155315789473,2024-01-28 07:01:28
N28.91677E77.11568125,2024-01-28 07:01:29
N28.91677E77.14078,2024-01-28 07:01:30
N28.916760909090907E77.11602363636364,2024-01-28 07:01:31
N28.916758E77.11636800000001,2024-01-28 07:01:32
N28.916750666666665E77.116654,2024-01-28 07:01:33
N28.916743333333333E77.11709333333333,2024-01-28 07:01:34
N28.916737230769233E77.11745507692308,2024-01-28 07:01:35
N28.91673123076923E77.11779107692307,2024-01-28 07:01:36
N28.916725714285715E77.14043857142856,2024-01-28 07:01:37
N28.91672523076923E77.11812707692307,2024-01-28 07:01:38
N28.91671969230769E77.11843723076923,2024-01-28 07:01:39
N28.91671369230769E77.11877323076922,2024-01-28 07:01:40
N28.91671E77.11911214285713,2024-01-28 07:01:41
N28.916708666666665E77.11945133333333,2024-01-28 07:01:42
N28.9167E77.11978500000001,2024-01-28 07:01:43
N28.9167E77.17196000000001,2024-01-28 07:01:44
N28.916691333333333E77.12011866666667,2024-01-28 07:01:45
N28.916690909090907E77.14012863636364,2024-01-28 07:01:46
N28.91669E77.12045416666666,2024-01-28 07:01:47
N28.91667875E77.12078249999999,2024-01-28 07:01:48
N28.916674999999998E77.12109,2024-01-28 07:01:49
N28.9166709375E77.12142312499999,2024-01-28 07:01:50
N28.916666666666668E77.1217575,2024-01-28 07:01:51
N28.916662333333335E77.12209225,2024-01-28 07:01:52
N28.916658E77.122427,2024-01-28 07:01:53
N28.916655454545456E77.13979181818182,2024-01-28 07:01:54
N28.916654E77.122736,2024-01-28 07:01:55
N28.916649666666668E77.12307075,2024-01-28 07:01:56
N28.916645000000003E77.12343125,2024-01-28 07:01:57
N28.916641000000002E77.12374025,2024-01-28 07:01:58
N28.91663666666667E77.124075,2024-01-28 07:01:59
N28.916632333333336E77.12440975,2024-01-28 07:02:00
N28.91662625E77.12474375,2024-01-28 07:02:01
N28.91662E77.13946,2024-01-28 07:02:02
N28.916619999999998E77.17237200000001,2024-01-28 07:02:03
N28.916618125E77.125076875,2024-01-28 07:02:04
N28.91661E77.12541,2024-01-28 07:02:05
N28.91661E77.12572428571428,2024-01-28 07:02:06
N28.91661E77.12606,2024-01-28 07:02:07
N28.916599411764704E77.12640176470589,2024-01-28 07:02:08
N28.91659588235294E77.12671235294118,2024-01-28 07:02:09
N28.91659205882353E77.1270488235294,2024-01-28 07:02:10
N28.91658588235294E77.13912470588235,2024-01-28 07:02:11
N28.9165825E77.12738,2024-01-28 07:02:12
N28.916577391304347E77.1277352173913,2024-01-28 07:02:13
N28.916574565217392E77.12806586956522,2024-01-28 07:02:14
N28.916571739130436E77.12839652173913,2024-01-28 07:02:15
N28.91656875E77.12872125,2024-01-28 07:02:16
N28.916560625E77.129054375,2024-01-28 07:02:17
N28.916558333333334E77.13881333333333,2024-01-28 07:02:18
N28.916557E77.129389,2024-01-28 07:02:19
N28.916553750000002E77.12972375,2024-01-28 07:02:20
N28.9165505E77.1300585,2024-01-28 07:02:21
N28.916545657894737E77.13039368421053,2024-01-28 07:02:22
N28.916540921052633E77.13070315789474,2024-01-28 07:02:23
N28.916539999999998E77.17277333333334,2024-01-28 07:02:24
N28.916535789473684E77.13103842105264,2024-01-28 07:02:25
N28.916535E77.13847,2024-01-28 07:02:26
N28.916530657894736E77.13137368421053,2024-01-28 07:02:27
N28.916525526315787E77.13170894736842,2024-01-28 07:02:28
N28.91652039473684E77.13204421052632,2024-01-28 07:02:29
N28.91651125E77.138145,2024-01-28 07:02:30
N28.91651076923077E77.1323776923077,2024-01-28 07:02:31
N28.91650076923077E77.13271102564103,2024-01-28 07:02:32
N28.91649076923077E77.13304435897436,2024-01-28 07:02:33
N28.9164896E77.1378048,2024-01-28 07:02:34
N28.916486E77.133446,2024-01-28 07:02:35
N28.916484399999998E77.1374772,2024-01-28 07:02:36
N28.91648E77.13385142857142,2024-01-28 07:02:37
N28.916479393939394E77.1371484848485,2024-01-28 07:02:38
N28.91647825E77.13416199999999,2024-01-28 07:02:39
N28.916475454545456E77.13681363636364,2024-01-28 07:02:40
N28.916475E77.1345,2024-01-28 07:02:41
N28.91647175E77.134838,2024-01-28 07:02:42
N28.916471515151514E77.13647878787879,2024-01-28 07:02:43
N28.91647E77.1351712,2024-01-28 07:02:44
N28.91647E77.1354988,2024-01-28 07:02:45
N28.91647E77.13583148148147,2024-01-28 07:02:46
N28.91647E77.13616851851852,2024-01-28 07:02:47
N28.916455E77.17320305555555,2024-01-28 07:02:48
N28.91635846153846E77.17363,2024-01-28 07:02:49
N28.91626E77.17403,2024-01-28 07:02:50
N28.916158666666668E77.17443,2024-01-28 07:02:51
N28.916058E77.17482799999999,2024-01-28 07:02:52
N28.91592106382979E77.17523212765957,2024-01-28 07:02:53
N28.915783617021276E77.17563723404255,2024-01-28 07:02:54
N28.915646170212767E77.17604234042554,2024-01-28 07:02:55
N28.91550833333333E77.17642666666667,2024-01-28 07:02:56
N28.915375E77.1768,2024-01-28 07:02:57
N28.915215833333335E77.17720249999999,2024-01-28 07:02:58
N28.91506E77.17759,2024-01-28 07:02:59
N28.91489E77.17798,2024-01-28 07:03:00
N28.91471222222222E77.17833555555556,2024-01-28 07:03:01
N28.91452E77.17872,2024-01-28 07:03:02
N28.914366E77.179028,2024-01-28 07:03:03
N28.91420702702703E77.17933297297297,2024-01-28 07:03:04
N28.913904864864865E77.17989513513513,2024-01-28 07:03:05
N28.913715416666665E77.18027354166666,2024-01-28 07:03:06
N28.91353875E77.18063187499999,2024-01-28 07:03:07
N28.913351041666665E77.18101260416667,2024-01-28 07:03:08
N28.913163333333333E77.18139333333333,2024-01-28 07:03:09
N28.91298666666667E77.18175166666666,2024-01-28 07:03:10
N28.91281E77.18211,2024-01-28 07:03:11
N28.912626E77.182482,2024-01-28 07:03:12
N28.912434363636365E77.18285599999999,2024-01-28 07:03:13
N28.912254E77.183208,2024-01-28 07:03:14
N28.912064084507044E77.1835852112676,2024-01-28 07:03:15
N28.911888309859155E77.18394577464788,2024-01-28 07:03:16
N28.911701549295774E77.18432887323944,2024-01-28 07:03:17
N28.911525774647888E77.18468943661972,2024-01-28 07:03:18
N28.9113386E77.185072,2024-01-28 07:03:19
N28.9111562E77.185424,2024-01-28 07:03:20
N28.9109624E77.185798,2024-01-28 07:03:21
N28.91076857142857E77.18617142857143,2024-01-28 07:03:22
N28.910588695652173E77.18653217391304,2024-01-28 07:03:23
N28.91039652173913E77.18690913043478,2024-01-28 07:03:24
N28.910223125E77.1872675,2024-01-28 07:03:25
N28.910035E77.187645,2024-01-28 07:03:26
N28.909845833333332E77.18802145833334,2024-01-28 07:03:27
N28.909650833333334E77.18842270833333,2024-01-28 07:03:28
N28.909531666666666E77.18866791666667,2024-01-28 07:03:29
N28.9094125E77.188913125,2024-01-28 07:03:30
N28.909292E77.189158,2024-01-28 07:03:31
N28.909127E77.18949175,2024-01-28 07:03:32
N28.90894E77.18987,2024-01-28 07:03:33
N28.90875846153846E77.19023230769231,2024-01-28 07:03:34
N28.908562307692307E77.19061153846154,2024-01-28 07:03:35
N28.90837E77.19098,2024-01-28 07:03:36
N28.90819181818182E77.19133636363635,2024-01-28 07:03:37
N28.9080025E77.19171499999999,2024-01-28 07:03:38
N28.907812727272727E77.19209272727272,2024-01-28 07:03:39
N28.907633333333333E77.19244666666665,2024-01-28 07:03:40
N28.907442727272727E77.19282272727273,2024-01-28 07:03:41
N28.90725212121212E77.19319878787879,2024-01-28 07:03:42
N28.907072727272727E77.19355272727272,2024-01-28 07:03:43
N28.906882121212124E77.19392878787878,2024-01-28 07:03:44
N28.90671515151515E77.19427878787879,2024-01-28 07:03:45
N28.906524545454545E77.19465613636365,2024-01-28 07:03:46
N28.90634515151515E77.19501128787878,2024-01-28 07:03:47
N28.906154545454545E77.19538863636365,2024-01-28 07:03:48
N28.90597515151515E77.19574378787878,2024-01-28 07:03:49
N28.905784545454544E77.19612113636364,2024-01-28 07:03:50
N28.905605151515154E77.19647628787878,2024-01-28 07:03:51
N28.905414545454548E77.19685363636364,2024-01-28 07:03:52
N28.905223333333332E77.19722666666667,2024-01-28 07:03:53
N28.90517632653061E77.19731704081633,2024-01-28 07:03:54
N28.905030408163267E77.19760755102041,2024-01-28 07:03:55
N28.90488448979592E77.19789806122449,2024-01-28 07:03:56
N28.90473857142857E77.19818857142857,2024-01-28 07:03:57
N28.904570204081633E77.1985237755102,2024-01-28 07:03:58
N28.904390612244896E77.19888132653061,2024-01-28 07:03:59
N28.904211020408162E77.19923887755101,2024-01-28 07:04:00
N28.904018571428573E77.19961904761905,2024-01-28 07:04:01
N28.903836666666667E77.19997714285715,2024-01-28 07:04:02
N28.903647777777778E77.20035761904762,2024-01-28 07:04:03
N28.90347E77.2007157142857,2024-01-28 07:04:04
N28.90328111111111E77.20109619047619,2024-01-28 07:04:05
N28.90309E77.20146,2024-01-28 07:04:06
N28.9029001459854E77.20183846715328,2024-01-28 07:04:07
N28.902721459854014E77.20219467153285,2024-01-28 07:04:08
N28.902531605839414E77.20257313868613,2024-01-28 07:04:09
N28.90235291970803E77.20292934306569,2024-01-28 07:04:10
N28.90216306569343E77.20330781021897,2024-01-28 07:04:11
N28.901984379562045E77.20366401459854,2024-01-28 07:04:12
N28.901794525547444E77.20404248175183,2024-01-28 07:04:13
N28.90161583941606E77.20439868613138,2024-01-28 07:04:14
N28.901426153846153E77.20477307692308,2024-01-28 07:04:15
N28.901246E77.205128,2024-01-28 07:04:16
N28.901064205607476E77.20549037383178,2024-01-28 07:04:17
N28.90087355140187E77.20587009345795,2024-01-28 07:04:18
N28.900694112149534E77.20622747663552,2024-01-28 07:04:19
N28.900503457943927E77.20660719626169,2024-01-28 07:04:20
N28.900346448598132E77.20691990654205,2024-01-28 07:04:21
N28.900189439252337E77.20723261682242,2024-01-28 07:04:22
N28.900043644859814E77.2075229906542,2024-01-28 07:04:23
N28.899916875000002E77.207774375,2024-01-28 07:04:24
N28.8997665625E77.2080628125,2024-01-28 07:04:25
N28.89957E77.20844,2024-01-28 07:04:26
N28.89939222222222E77.20879555555555,2024-01-28 07:04:27
N28.899203333333332E77.20917333333333,2024-01-28 07:04:28
N28.899025555555557E77.2095288888889,2024-01-28 07:04:29
N28.898836666666664E77.20990666666667,2024-01-28 07:04:30
N28.898653421052632E77.21027921052632,2024-01-28 07:04:31
N28.89846105263158E77.21065052631579,2024-01-28 07:04:32
N28.89826882352941E77.2110225,2024-01-28 07:04:33
N28.89807882352941E77.211405,2024-01-28 07:04:34
N28.8979E77.211765,2024-01-28 07:04:35
N28.89772117647059E77.212125,2024-01-28 07:04:36
N28.89753117647059E77.2125075,2024-01-28 07:04:37
N28.897344923076922E77.21288015384616,2024-01-28 07:04:38
N28.897156615384617E77.21325676923077,2024-01-28 07:04:39
N28.896979384615385E77.21361123076923,2024-01-28 07:04:40
N28.896791076923076E77.21398784615384,2024-01-28 07:04:41
N28.89661125E77.2143428125,2024-01-28 07:04:42
N28.89642E77.21472,2024-01-28 07:04:43
N28.896230384615382E77.21509269230769,2024-01-28 07:04:44
N28.89605222222222E77.21544555555555,2024-01-28 07:04:45
N28.895863333333335E77.21582333333333,2024-01-28 07:04:46
N28.895685555555556E77.21617888888889,2024-01-28 07:04:47
N28.895497777777777E77.21656444444444,2024-01-28 07:04:48
N28.895286666666667E77.21698666666667,2024-01-28 07:04:49
N28.895086666666668E77.21738666666667,2024-01-28 07:04:50
N28.89490888888889E77.21774222222223,2024-01-28 07:04:51
N28.89473111111111E77.21810666666667,2024-01-28 07:04:52
N28.894538157894736E77.21847131578947,2024-01-28 07:04:53
N28.894345789473686E77.21885157894737,2024-01-28 07:04:54
N28.89416E77.21922,2024-01-28 07:04:55
N28.893984864864866E77.21957783783785,2024-01-28 07:04:56
N28.893796486486487E77.21996378378378,2024-01-28 07:04:57
N28.893617142857146E77.22032285714286,2024-01-28 07:04:58
N28.893428E77.22070599999999,2024-01-28 07:04:59
N28.893248E77.22107,2024-01-28 07:05:00
N28.89306739130435E77.22142347826086,2024-01-28 07:05:01
N28.892875217391303E77.22179304347826,2024-01-28 07:05:02
N28.892672916666665E77.22216166666666,2024-01-28 07:05:03
N28.89247727272727E77.22251363636364,2024-01-28 07:05:04
N28.89228409090909E77.22288454545455,2024-01-28 07:05:05
N28.8920708E77.22325239999999,2024-01-28 07:05:06
N28.891865E77.2235975,2024-01-28 07:05:07
N28.891656842105263E77.22394157894738,2024-01-28 07:05:08
N28.891446315789473E77.22428684210526,2024-01-28 07:05:09
N28.891233636363637E77.22464818181818,2024-01-28 07:05:10
N28.89103484848485E77.22498757575758,2024-01-28 07:05:11
N28.8908175E77.22532749999999,2024-01-28 07:05:12
N28.890595E77.22568,2024-01-28 07:05:13
N28.89037090909091E77.22603545454545,2024-01-28 07:05:14
N28.890099999999997E77.22647,2024-01-28 07:05:15
N28.88988894736842E77.22679684210527,2024-01-28 07:05:16
N28.889669655172415E77.22715137931036,2024-01-28 07:05:17
N28.88945275862069E77.22750896551725,2024-01-28 07:05:18
N28.88923833333333E77.22783333333334,2024-01-28 07:05:19
N28.889018749999998E77.2281875,2024-01-28 07:05:20
N28.88879935483871E77.22853903225807,2024-01-28 07:05:21
N28.88858E77.22889,2024-01-28 07:05:22
N28.88837294117647E77.22922882352941,2024-01-28 07:05:23
N28.88815142857143E77.22958142857142,2024-01-28 07:05:24
N28.88792982142857E77.22993357142857,2024-01-28 07:05:25
N28.887721250000002E77.230265,2024-01-28 07:05:26
N28.88749739130435E77.23061869565218,2024-01-28 07:05:27
N28.887285217391305E77.23095260869566,2024-01-28 07:05:28
N28.887059782608695E77.23130739130434,2024-01-28 07:05:29
N28.886836153846154E77.23164153846155,2024-01-28 07:05:30
N28.88660730769231E77.23198807692307,2024-01-28 07:05:31
N28.886385454545454E77.23231727272727,2024-01-28 07:05:32
N28.886133030303032E77.23264181818182,2024-01-28 07:05:33
N28.885878701298704E77.23296532467532,2024-01-28 07:05:34
N28.88563350649351E77.23326662337662,2024-01-28 07:05:35
N28.88537298701299E77.23358675324675,2024-01-28 07:05:36
N28.885127792207793E77.23388805194806,2024-01-28 07:05:37
N28.88485194805195E77.23422701298702,2024-01-28 07:05:38
N28.88452625E77.23458375,2024-01-28 07:05:39
N28.884266250000003E77.2348625,2024-01-28 07:05:40
N28.883983333333333E77.23515333333334,2024-01-28 07:05:41
N28.88371342857143E77.23543742857143,2024-01-28 07:05:42
N28.883431714285713E77.23573371428571,2024-01-28 07:05:43
N28.88316657142857E77.23601257142857,2024-01-28 07:05:44
N28.882894285714283E77.23631571428571,2024-01-28 07:05:45
N28.882642857142855E77.23660714285714,2024-01-28 07:05:46
N28.882375714285715E77.23691678571429,2024-01-28 07:05:47
N28.88211625E77.23722000000001,2024-01-28 07:05:48
N28.8818825E77.23756,2024-01-28 07:05:49
N28.881661923076923E77.23788,2024-01-28 07:05:50
N28.88143730769231E77.2382,2024-01-28 07:05:51
N28.881198653846155E77.23854,2024-01-28 07:05:52
N28.88097403846154E77.23885999999999,2024-01-28 07:05:53
N28.880763076923078E77.23922153846154,2024-01-28 07:05:54
N28.88055384615385E77.23958442307692,2024-01-28 07:05:55
N28.880344615384615E77.23994730769232,2024-01-28 07:05:56
N28.88014294117647E77.2402905882353,2024-01-28 07:05:57
N28.879940588235293E77.24063411764706,2024-01-28 07:05:58
N28.879742666666665E77.241006,2024-01-28 07:05:59
N28.87955E77.24138,2024-01-28 07:06:00
N28.879356666666666E77.24173666666667,2024-01-28 07:06:01
N28.87917E77.2421,2024-01-28 07:06:02
N28.87916956521739E77.29051478260868,2024-01-28 07:06:03
N28.879161304347825E77.29003565217391,2024-01-28 07:06:04
N28.879159062499998E77.29096687500001,2024-01-28 07:06:05
N28.8791540625E77.291376875,2024-01-28 07:06:06
N28.87915227272727E77.28952727272727,2024-01-28 07:06:07
N28.879146363636362E77.29181363636363,2024-01-28 07:06:08
N28.879133939393938E77.28897545454547,2024-01-28 07:06:09
N28.87913181818182E77.29222818181819,2024-01-28 07:06:10
N28.879120606060606E77.28841545454546,2024-01-28 07:06:11
N28.87912E77.2879,2024-01-28 07:06:12
N28.87912E77.29267,2024-01-28 07:06:13
N28.87910823529412E77.29307294117648,2024-01-28 07:06:14
N28.879101162790697E77.28744976744186,2024-01-28 07:06:15
N28.8790875E77.29350125,2024-01-28 07:06:16
N28.87906558139535E77.28701488372093,2024-01-28 07:06:17
N28.87906333333333E77.29393999999999,2024-01-28 07:06:18
N28.879035714285713E77.29435714285714,2024-01-28 07:06:19
N28.87903E77.28658,2024-01-28 07:06:20
N28.8790075E77.2947675,2024-01-28 07:06:21
N28.879006938775508E77.24249551020408,2024-01-28 07:06:22
N28.878996511627907E77.28617069767442,2024-01-28 07:06:23
N28.87898130434783E77.2952004347826,2024-01-28 07:06:24
N28.87896093023256E77.2857358139535,2024-01-28 07:06:25
N28.87895347826087E77.29561782608695,2024-01-28 07:06:26
N28.878927142857144E77.28533,2024-01-28 07:06:27
N28.878922857142857E77.29604285714285,2024-01-28 07:06:28
N28.878893214285714E77.29645571428571,2024-01-28 07:06:29
N28.87889E77.2849,2024-01-28 07:06:30
N28.878860476190475E77.29689285714286,2024-01-28 07:06:31
N28.878856774193547E77.28446032258064,2024-01-28 07:06:32
N28.878827741935485E77.28407322580645,2024-01-28 07:06:33
N28.878822380952382E77.29730428571429,2024-01-28 07:06:34
N28.878815102040814E77.24296081632653,2024-01-28 07:06:35
N28.878792716049382E77.28363617283951,2024-01-28 07:06:36
N28.878783124999998E77.29771,2024-01-28 07:06:37
N28.878757037037037E77.28319962962964,2024-01-28 07:06:38
N28.8787246875E77.298135,2024-01-28 07:06:39
N28.878723456790123E77.2827887654321,2024-01-28 07:06:40
N28.878687777777778E77.28235222222223,2024-01-28 07:06:41
N28.878666666666668E77.29856166666667,2024-01-28 07:06:42
N28.878654197530864E77.2819413580247,2024-01-28 07:06:43
N28.878653125E77.243355625,2024-01-28 07:06:44
N28.878619999999998E77.28150500000001,2024-01-28 07:06:45
N28.87861E77.29899375,2024-01-28 07:06:46
N28.8785875E77.28109416666666,2024-01-28 07:06:47
N28.878556666666668E77.29940583333334,2024-01-28 07:06:48
N28.8785475E77.28068083333334,2024-01-28 07:06:49
N28.878509069767443E77.28024186046513,2024-01-28 07:06:50
N28.878503333333335E77.29982333333334,2024-01-28 07:06:51
N28.878493333333335E77.24375,2024-01-28 07:06:52
N28.87847558139535E77.27982883720931,2024-01-28 07:06:53
N28.87844875E77.300246875,2024-01-28 07:06:54
N28.878442093023256E77.27941581395349,2024-01-28 07:06:55
N28.878407857142857E77.27900535714286,2024-01-28 07:06:56
N28.878382857142856E77.30068285714286,2024-01-28 07:06:57
N28.87837142857143E77.27856942857143,2024-01-28 07:06:58
N28.878339999999998E77.24412714285714,2024-01-28 07:06:59
N28.87833714285714E77.27815914285715,2024-01-28 07:07:00
N28.87832125E77.301113125,2024-01-28 07:07:01
N28.878300714285714E77.27772321428571,2024-01-28 07:07:02
N28.87826857142857E77.27733857142857,2024-01-28 07:07:03
N28.878262E77.301512,2024-01-28 07:07:04
N28.878232142857144E77.27690264285715,2024-01-28 07:07:05
N28.878196666666668E77.2445,2024-01-28 07:07:06
N28.878195714285713E77.27646671428572,2024-01-28 07:07:07
N28.878189607843137E77.30194411764707,2024-01-28 07:07:08
N28.878161428571428E77.27605642857144,2024-01-28 07:07:09
N28.878121999999998E77.27565,2024-01-28 07:07:10
N28.878116274509804E77.30237411764706,2024-01-28 07:07:11
N28.8780764E77.275239,2024-01-28 07:07:12
N28.878051764705884E77.24488764705883,2024-01-28 07:07:13
N28.87804725490196E77.30277882352941,2024-01-28 07:07:14
N28.8780458E77.2748055,2024-01-28 07:07:15
N28.878017E77.27439749999999,2024-01-28 07:07:16
N28.8779864E77.27396399999999,2024-01-28 07:07:17
N28.877969333333333E77.30320355555556,2024-01-28 07:07:18
N28.877957600000002E77.273556,2024-01-28 07:07:19
N28.877943333333334E77.24521833333333,2024-01-28 07:07:20
N28.8779216E77.273046,2024-01-28 07:07:21
N28.87789E77.30362666666667,2024-01-28 07:07:22
N28.877889333333332E77.272588,2024-01-28 07:07:23
N28.87785911111111E77.27215733333334,2024-01-28 07:07:24
N28.87784444444444E77.24550888888888,2024-01-28 07:07:25
N28.877830666666668E77.271752,2024-01-28 07:07:26
N28.87781375E77.304025,2024-01-28 07:07:27
N28.87780076923077E77.27130846153847,2024-01-28 07:07:28
N28.877766E77.2709,2024-01-28 07:07:29
N28.877754285714285E77.24580321428571,2024-01-28 07:07:30
N28.877734E77.27048857142857,2024-01-28 07:07:31
N28.877713749999998E77.304425,2024-01-28 07:07:32
N28.8777E77.2700521875,2024-01-28 07:07:33
N28.877682857142858E77.24604964285714,2024-01-28 07:07:34
N28.877668E77.2696431875,2024-01-28 07:07:35
N28.877634E77.269208625,2024-01-28 07:07:36
N28.877618571428574E77.24627142857143,2024-01-28 07:07:37
N28.877615217391302E77.30482304347825,2024-01-28 07:07:38
N28.8776E77.2687740625,2024-01-28 07:07:39
N28.877568E77.2683650625,2024-01-28 07:07:40
N28.877554E77.246516,2024-01-28 07:07:41
N28.877534E77.2679305,2024-01-28 07:07:42
N28.877517826086954E77.30521956521739,2024-01-28 07:07:43
N28.877499999999998E77.2674959375,2024-01-28 07:07:44
N28.877482E77.246808,2024-01-28 07:07:45
N28.877466E77.267061375,2024-01-28 07:07:46
N28.877432E77.26662681250001,2024-01-28 07:07:47
N28.877426521739128E77.30559130434783,2024-01-28 07:07:48
N28.87741E77.2471,2024-01-28 07:07:49
N28.877399999999998E77.2662178125,2024-01-28 07:07:50
N28.8773625E77.265808125,2024-01-28 07:07:51
N28.8773484E77.2474316,2024-01-28 07:07:52
N28.87732642857143E77.26537357142857,2024-01-28 07:07:53
N28.877316666666665E77.3060111111111,2024-01-28 07:07:54
N28.877293035714285E77.26493946428572,2024-01-28 07:07:55
N28.8772756E77.2477844,2024-01-28 07:07:56
N28.877261607142856E77.26453089285715,2024-01-28 07:07:57
N28.877228214285715E77.26409678571429,2024-01-28 07:07:58
N28.8771976E77.2481624,2024-01-28 07:07:59
N28.877196785714286E77.26368821428572,2024-01-28 07:08:00
N28.877196666666666E77.30645474747475,2024-01-28 07:08:01
N28.877163392857145E77.26325410714286,2024-01-28 07:08:02
N28.87713E77.26282,2024-01-28 07:08:03
N28.877110000000002E77.24859000000001,2024-01-28 07:08:04
N28.87708355769231E77.26223173076923,2024-01-28 07:08:05
N28.87708333333333E77.30687373737373,2024-01-28 07:08:06
N28.87704923076923E77.26179692307693,2024-01-28 07:08:07
N28.877019999999998E77.24904,2024-01-28 07:08:08
N28.877014903846153E77.26136211538461,2024-01-28 07:08:09
N28.876980576923074E77.26092730769231,2024-01-28 07:08:10
N28.876976666666664E77.30726808080807,2024-01-28 07:08:11
N28.876948269230766E77.26051807692308,2024-01-28 07:08:12
